Baseline_acc,Baseline_auroc,ARL_acc,ARL_auroc
0.7933333516120911,0.7552778124809265,0.8266666531562805,0.7677777409553528
0.8066666722297668,0.7291666269302368,0.800000011920929,0.7263888716697693
0.8399999737739563,0.7891666889190674,0.8266666531562805,0.7988889813423157
0.8600000143051147,0.7788888812065125,0.8600000143051147,0.7855556011199951
0.8600000143051147,0.7783333659172058,0.8600000143051147,0.784166693687439
0.8666666746139526,0.778333306312561,0.8666666746139526,0.7769445180892944
0.8600000143051147,0.8075000643730164,0.8399999737739563,0.8330556154251099
0.8199999928474426,0.836944580078125,0.8333333134651184,0.8474999666213989
0.8600000143051147,0.8369444012641907,0.8266666531562805,0.8366667032241821
0.8133333325386047,0.8219444155693054,0.846666693687439,0.8577775955200195
0.846666693687439,0.8305554986000061,0.8666666746139526,0.8977778553962708
0.8399999737739563,0.8366665840148926,0.8666666746139526,0.8969444632530212
0.8399999737739563,0.868055522441864,0.8600000143051147,0.8838889002799988
0.8199999928474426,0.8211112022399902,0.8333333134651184,0.8588888645172119
0.8333333134651184,0.8202778100967407,0.8199999928474426,0.8602778315544128
0.846666693687439,0.8522222638130188,0.8533333539962769,0.8891666531562805
0.8399999737739563,0.8280556201934814,0.846666693687439,0.8683332800865173
0.8266666531562805,0.8686111569404602,0.8533333539962769,0.8741665482521057
0.8533333539962769,0.8747223615646362,0.8600000143051147,0.8733333945274353
0.8600000143051147,0.8788890242576599,0.8799999952316284,0.8991667628288269
0.8799999952316284,0.873055636882782,0.8666666746139526,0.8966667056083679
0.8666666746139526,0.8677778840065002,0.8799999952316284,0.8947222828865051
0.846666693687439,0.865277886390686,0.8733333349227905,0.8933332562446594
0.8399999737739563,0.8525000810623169,0.8666666746139526,0.887499988079071
