Baseline,HSV
0.7666666507720947,0.7666666507720947
0.7799999713897705,0.7666666507720947
0.8066666722297668,0.7200000286102295
0.8533333539962769,0.7400000095367432
0.8600000143051147,0.7400000095367432
0.8333333134651184,0.746666669845581
0.8399999737739563,0.7866666913032532
0.846666693687439,0.7799999713897705
0.8066666722297668,0.8066666722297668
0.8333333134651184,0.800000011920929
0.8066666722297668,0.8133333325386047
0.846666693687439,0.7866666913032532
0.8333333134651184,0.8333333134651184
0.8266666531562805,0.8133333325386047
0.8600000143051147,0.7866666913032532
0.8533333539962769,0.7799999713897705
0.8399999737739563,0.8533333539962769
0.8600000143051147,0.8333333134651184
0.8600000143051147,0.800000011920929
0.846666693687439,0.8066666722297668
0.8666666746139526,0.8333333134651184
0.8733333349227905,0.8333333134651184
0.8600000143051147,0.8399999737739563
0.846666693687439,0.846666693687439
