baseline_accuracies,baseline_aurocs,baseline_tp,baseline_tn,baseline_fp,baseline_fn,max_rgb_accuracies,max_rgb_aurocs,max_rgb_tp,max_rgb_tn,max_rgb_fp,max_rgb_fn,shades_of_gray_accuracies,shades_of_gray_aurocs,shades_of_gray_tp,shades_of_gray_tn,shades_of_gray_fp,shades_of_gray_fn,ben_graham_accuracies,ben_graham_aurocs,ben_graham_tp,ben_graham_tn,ben_graham_fp,ben_graham_fn
0.7266666889190674,0.7394445538520813,14,114,16,6,0.7666666507720947,0.7566666603088379,18,113,12,7,0.753333330154419,0.6750000715255737,10,115,20,5,0.7866666913032532,0.7769445180892944,10,118,20,2
0.8199999928474426,0.7194445729255676,14,114,16,6,0.7733333110809326,0.6516667008399963,18,113,12,7,0.7733333110809326,0.7286111116409302,10,115,20,5,0.800000011920929,0.7697221636772156,10,118,20,2
0.7933333516120911,0.7475000023841858,14,114,16,6,0.8066666722297668,0.7997221946716309,18,113,12,7,0.7933333516120911,0.7669444680213928,10,115,20,5,0.8133333325386047,0.7844445109367371,10,118,20,2
0.8266666531562805,0.7705556154251099,14,114,16,6,0.8333333134651184,0.8172222375869751,18,113,12,7,0.8266666531562805,0.7855556607246399,10,115,20,5,0.8266666531562805,0.8161110877990723,10,118,20,2
0.8399999737739563,0.7638888955116272,14,114,16,6,0.8199999928474426,0.8141667246818542,18,113,12,7,0.8133333325386047,0.7802777886390686,10,115,20,5,0.8399999737739563,0.8122221827507019,10,118,20,2
0.8533333539962769,0.7786111235618591,14,114,16,6,0.8533333539962769,0.8047221899032593,18,113,12,7,0.8133333325386047,0.7905555963516235,10,115,20,5,0.8533333539962769,0.8072221875190735,10,118,20,2
0.8133333325386047,0.7894445061683655,14,114,16,6,0.8266666531562805,0.8125,18,113,12,7,0.7866666913032532,0.7983331680297852,10,115,20,5,0.8533333539962769,0.8274999260902405,10,118,20,2
0.8333333134651184,0.834722101688385,14,114,16,6,0.8533333539962769,0.8375000357627869,18,113,12,7,0.8266666531562805,0.8222222328186035,10,115,20,5,0.8666666746139526,0.8413888812065125,10,118,20,2
0.8066666722297668,0.833333432674408,14,114,16,6,0.8333333134651184,0.8124998211860657,18,113,12,7,0.7933333516120911,0.8022223114967346,10,115,20,5,0.8600000143051147,0.8405556082725525,10,118,20,2
0.8133333325386047,0.8377779126167297,14,114,16,6,0.8399999737739563,0.7966668009757996,18,113,12,7,0.7799999713897705,0.7977778315544128,10,115,20,5,0.8600000143051147,0.872499942779541,10,118,20,2
0.8199999928474426,0.8469444513320923,14,114,16,6,0.846666693687439,0.8341665863990784,18,113,12,7,0.8266666531562805,0.834722101688385,10,115,20,5,0.8666666746139526,0.8688889145851135,10,118,20,2
0.8266666531562805,0.8111110925674438,14,114,16,6,0.8266666531562805,0.8163889050483704,18,113,12,7,0.8333333134651184,0.8438888192176819,10,115,20,5,0.800000011920929,0.8144444823265076,10,118,20,2
0.8199999928474426,0.8305555582046509,14,114,16,6,0.8533333539962769,0.8419444561004639,18,113,12,7,0.8266666531562805,0.8619444966316223,10,115,20,5,0.8799999952316284,0.8530556559562683,10,118,20,2
0.8199999928474426,0.8444443941116333,14,114,16,6,0.8399999737739563,0.832777738571167,18,113,12,7,0.8399999737739563,0.8608334064483643,10,115,20,5,0.8600000143051147,0.868888795375824,10,118,20,2
0.8733333349227905,0.8641666173934937,14,114,16,6,0.8866666555404663,0.8752777576446533,18,113,12,7,0.8266666531562805,0.8466667532920837,10,115,20,5,0.8733333349227905,0.8233333826065063,10,118,20,2
0.8533333539962769,0.8436111211776733,14,114,16,6,0.8533333539962769,0.8527777791023254,18,113,12,7,0.8133333325386047,0.8372223377227783,10,115,20,5,0.8399999737739563,0.8694445490837097,10,118,20,2
0.8600000143051147,0.842222273349762,14,114,16,6,0.8666666746139526,0.8505556583404541,18,113,12,7,0.8600000143051147,0.8597223162651062,10,115,20,5,0.8799999952316284,0.8722221851348877,10,118,20,2
0.8666666746139526,0.876666784286499,14,114,16,6,0.8600000143051147,0.8644446134567261,18,113,12,7,0.8333333134651184,0.8436110615730286,10,115,20,5,0.8799999952316284,0.8697223663330078,10,118,20,2
0.846666693687439,0.8552778959274292,14,114,16,6,0.8333333134651184,0.8422221541404724,18,113,12,7,0.846666693687439,0.8591666221618652,10,115,20,5,0.8600000143051147,0.8719446063041687,10,118,20,2
0.8533333539962769,0.8558333516120911,14,114,16,6,0.8866666555404663,0.8680557012557983,18,113,12,7,0.8266666531562805,0.85916668176651,10,115,20,5,0.8733333349227905,0.889166533946991,10,118,20,2
0.8533333539962769,0.8612498641014099,14,114,16,6,0.8733333349227905,0.8602776527404785,18,113,12,7,0.8266666531562805,0.8513889312744141,10,115,20,5,0.8733333349227905,0.8969443440437317,10,118,20,2
0.8733333349227905,0.879444420337677,14,114,16,6,0.846666693687439,0.8559722900390625,18,113,12,7,0.8399999737739563,0.8513889312744141,10,115,20,5,0.846666693687439,0.893333375453949,10,118,20,2
0.8600000143051147,0.8752777576446533,14,114,16,6,0.8600000143051147,0.85833340883255,18,113,12,7,0.8399999737739563,0.8538888692855835,10,115,20,5,0.8666666746139526,0.8833334445953369,10,118,20,2
0.8533333539962769,0.8686111569404602,14,114,16,6,0.8733333349227905,0.8561111688613892,18,113,12,7,0.8333333134651184,0.8488889336585999,10,115,20,5,0.8533333539962769,0.8866666555404663,10,118,20,2
