Baseline_acc,Baseline_auroc,Without_SE_acc,Without_SE_auroc,without_SE_with_ARL_acc,without_SE_with_ARL_auroc,SE_and_ARL_acc,SE_and_ARL_auroc
0.7599999904632568,0.823888897895813,0.8133333325386047,0.5699999928474426,0.8266666531562805,0.6658334136009216,0.7933333516120911,0.8286112546920776
0.7733333110809326,0.800277829170227,0.5733333230018616,0.30694445967674255,0.7200000286102295,0.32277774810791016,0.7733333110809326,0.7972223162651062
0.8133333325386047,0.7616666555404663,0.7933333516120911,0.5111110806465149,0.7733333110809326,0.44055551290512085,0.7733333110809326,0.7369444370269775
0.7933333516120911,0.808055579662323,0.7933333516120911,0.5027777552604675,0.7933333516120911,0.47055554389953613,0.800000011920929,0.7994444370269775
0.7933333516120911,0.8177778124809265,0.7866666913032532,0.5905555486679077,0.7866666913032532,0.5927777290344238,0.7933333516120911,0.8047221899032593
0.7799999713897705,0.800000011920929,0.7666666507720947,0.5622222423553467,0.7933333516120911,0.538611114025116,0.7866666913032532,0.7883334159851074
0.8266666531562805,0.8219444751739502,0.800000011920929,0.6722221374511719,0.8066666722297668,0.6515278220176697,0.8266666531562805,0.816111147403717
0.8066666722297668,0.8216667175292969,0.800000011920929,0.674166738986969,0.8066666722297668,0.6908334493637085,0.8133333325386047,0.8241667747497559
0.8066666722297668,0.8297222256660461,0.8133333325386047,0.7094444036483765,0.8066666722297668,0.6944445371627808,0.7933333516120911,0.8272221088409424
0.7933333516120911,0.7880555987358093,0.8266666531562805,0.7119442820549011,0.8266666531562805,0.6919443607330322,0.7933333516120911,0.7888889312744141
0.8199999928474426,0.8488888740539551,0.800000011920929,0.7258334159851074,0.8199999928474426,0.7283334136009216,0.8199999928474426,0.8458333015441895
0.8266666531562805,0.8472221493721008,0.8199999928474426,0.743055522441864,0.800000011920929,0.7063888907432556,0.8333333134651184,0.8555555939674377
0.8266666531562805,0.8330555558204651,0.8199999928474426,0.7886112928390503,0.8399999737739563,0.7847222685813904,0.8266666531562805,0.8400000333786011
0.8133333325386047,0.8094444870948792,0.8333333134651184,0.7488888502120972,0.8266666531562805,0.7383333444595337,0.8266666531562805,0.8163889050483704
0.8399999737739563,0.8224999904632568,0.8266666531562805,0.7600000500679016,0.8066666722297668,0.7661112546920776,0.8333333134651184,0.8344444632530212
0.8333333134651184,0.8361111283302307,0.8266666531562805,0.7608333230018616,0.8066666722297668,0.7636111974716187,0.8333333134651184,0.8425000905990601
0.8399999737739563,0.8288887739181519,0.8333333134651184,0.7777777910232544,0.8199999928474426,0.7933333516120911,0.8399999737739563,0.8341665863990784
0.8266666531562805,0.8311112523078918,0.8199999928474426,0.7427777647972107,0.8133333325386047,0.7566666603088379,0.8266666531562805,0.8350000977516174
0.8333333134651184,0.815277636051178,0.8199999928474426,0.7522222995758057,0.8066666722297668,0.7508334517478943,0.8666666746139526,0.8330554962158203
0.8533333539962769,0.8302777409553528,0.8333333134651184,0.7794445157051086,0.8133333325386047,0.7866666316986084,0.8533333539962769,0.84416663646698
0.8399999737739563,0.8233333230018616,0.8333333134651184,0.7877777814865112,0.8266666531562805,0.7891666293144226,0.8533333539962769,0.8374999761581421
0.8533333539962769,0.8241666555404663,0.8199999928474426,0.7813889384269714,0.800000011920929,0.7786112427711487,0.846666693687439,0.838888943195343
0.8399999737739563,0.828889012336731,0.8199999928474426,0.793055534362793,0.800000011920929,0.7899999618530273,0.8333333134651184,0.840833306312561
0.8399999737739563,0.8097221851348877,0.8066666722297668,0.7827778458595276,0.7933333516120911,0.7886112332344055,0.846666693687439,0.8311111330986023
