Baseline,ARL
0.753333330154419,0.746666669845581
0.7933333516120911,0.800000011920929
0.8333333134651184,0.8333333134651184
0.8533333539962769,0.846666693687439
0.846666693687439,0.8666666746139526
0.8399999737739563,0.8666666746139526
0.8600000143051147,0.8666666746139526
0.846666693687439,0.8799999952316284
0.846666693687439,0.8399999737739563
0.8199999928474426,0.8266666531562805
0.8333333134651184,0.8399999737739563
0.8533333539962769,0.8333333134651184
0.8333333134651184,0.8333333134651184
0.8399999737739563,0.8666666746139526
0.8666666746139526,0.8733333349227905
0.8266666531562805,0.8399999737739563
0.8399999737739563,0.846666693687439
0.8666666746139526,0.846666693687439
0.8266666531562805,0.8399999737739563
0.8600000143051147,0.8866666555404663
0.8666666746139526,0.8600000143051147
0.8666666746139526,0.8733333349227905
0.8533333539962769,0.8866666555404663
0.846666693687439,0.8666666746139526
