baseline_accuracies,baseline_aurocs,baseline_tp,baseline_tn,baseline_fp,baseline_fn,max_rgb_accuracies,max_rgb_aurocs,max_rgb_tp,max_rgb_tn,max_rgb_fp,max_rgb_fn,shades_of_gray_accuracies,shades_of_gray_aurocs,shades_of_gray_tp,shades_of_gray_tn,shades_of_gray_fp,shades_of_gray_fn,ben_graham_accuracies,ben_graham_aurocs,ben_graham_tp,ben_graham_tn,ben_graham_fp,ben_graham_fn
0.699999988079071,0.753611147403717,15,114,15,6,0.653333306312561,0.6947221755981445,16,114,14,6,0.7066666483879089,0.7847221493721008,11,117,19,3,0.6399999856948853,0.6899999976158142,10,117,20,3
0.753333330154419,0.683055579662323,15,114,15,6,0.746666669845581,0.7422221302986145,16,114,14,6,0.7666666507720947,0.7722222208976746,11,117,19,3,0.753333330154419,0.76583331823349,10,117,20,3
0.8133333325386047,0.704444408416748,15,114,15,6,0.8266666531562805,0.771388828754425,16,114,14,6,0.8066666722297668,0.7372222542762756,11,117,19,3,0.8399999737739563,0.7475000023841858,10,117,20,3
0.8333333134651184,0.779722273349762,15,114,15,6,0.8333333134651184,0.7847223877906799,16,114,14,6,0.8399999737739563,0.7869444489479065,11,117,19,3,0.8733333349227905,0.7980556488037109,10,117,20,3
0.8199999928474426,0.7788889408111572,15,114,15,6,0.8133333325386047,0.8100000023841858,16,114,14,6,0.800000011920929,0.7744444608688354,11,117,19,3,0.8600000143051147,0.7919445633888245,10,117,20,3
0.8199999928474426,0.8100000023841858,15,114,15,6,0.8066666722297668,0.7999998927116394,16,114,14,6,0.8266666531562805,0.7883332371711731,11,117,19,3,0.8600000143051147,0.7986111640930176,10,117,20,3
0.8266666531562805,0.8172223567962646,15,114,15,6,0.8133333325386047,0.8197222948074341,16,114,14,6,0.8266666531562805,0.7944445013999939,11,117,19,3,0.8666666746139526,0.8022221922874451,10,117,20,3
0.8600000143051147,0.8436111211776733,15,114,15,6,0.8133333325386047,0.8144444227218628,16,114,14,6,0.8266666531562805,0.7880554795265198,11,117,19,3,0.846666693687439,0.8058333992958069,10,117,20,3
0.8399999737739563,0.8552778363227844,15,114,15,6,0.8133333325386047,0.8177777528762817,16,114,14,6,0.800000011920929,0.8213889598846436,11,117,19,3,0.8266666531562805,0.7783334255218506,10,117,20,3
0.8333333134651184,0.849166750907898,15,114,15,6,0.8199999928474426,0.8094444870948792,16,114,14,6,0.800000011920929,0.8083333373069763,11,117,19,3,0.8666666746139526,0.8300001621246338,10,117,20,3
0.8666666746139526,0.8533332347869873,15,114,15,6,0.7933333516120911,0.8061111569404602,16,114,14,6,0.8066666722297668,0.8155555129051208,11,117,19,3,0.8399999737739563,0.8652777075767517,10,117,20,3
0.8266666531562805,0.8302778601646423,15,114,15,6,0.8533333539962769,0.8677777647972107,16,114,14,6,0.8600000143051147,0.8608333468437195,11,117,19,3,0.8799999952316284,0.8811109662055969,10,117,20,3
0.8199999928474426,0.8447222113609314,15,114,15,6,0.8533333539962769,0.8458333611488342,16,114,14,6,0.8600000143051147,0.8338890075683594,11,117,19,3,0.8199999928474426,0.8488888740539551,10,117,20,3
0.8666666746139526,0.8652775883674622,15,114,15,6,0.846666693687439,0.8811112642288208,16,114,14,6,0.7933333516120911,0.8133333325386047,11,117,19,3,0.8399999737739563,0.8719444870948792,10,117,20,3
0.8199999928474426,0.840833306312561,15,114,15,6,0.8533333539962769,0.8627779483795166,16,114,14,6,0.8199999928474426,0.8441667556762695,11,117,19,3,0.8199999928474426,0.865277886390686,10,117,20,3
0.8066666722297668,0.839722216129303,15,114,15,6,0.8399999737739563,0.8408331871032715,16,114,14,6,0.8266666531562805,0.8580554127693176,11,117,19,3,0.846666693687439,0.8741666078567505,10,117,20,3
0.8266666531562805,0.8461111783981323,15,114,15,6,0.8266666531562805,0.8430556058883667,16,114,14,6,0.8133333325386047,0.8644444346427917,11,117,19,3,0.8399999737739563,0.8811112642288208,10,117,20,3
0.8600000143051147,0.8644446134567261,15,114,15,6,0.8333333134651184,0.8586111068725586,16,114,14,6,0.8066666722297668,0.8613889813423157,11,117,19,3,0.8600000143051147,0.8563889861106873,10,117,20,3
0.8399999737739563,0.8611109852790833,15,114,15,6,0.846666693687439,0.8725000619888306,16,114,14,6,0.846666693687439,0.8766668438911438,11,117,19,3,0.846666693687439,0.867777943611145,10,117,20,3
0.8399999737739563,0.8641667366027832,15,114,15,6,0.8600000143051147,0.8691666126251221,16,114,14,6,0.8533333539962769,0.9008333086967468,11,117,19,3,0.846666693687439,0.8727779388427734,10,117,20,3
0.8533333539962769,0.8622222542762756,15,114,15,6,0.8666666746139526,0.8816668391227722,16,114,14,6,0.8799999952316284,0.9030555486679077,11,117,19,3,0.8600000143051147,0.867777943611145,10,117,20,3
0.846666693687439,0.8636109828948975,15,114,15,6,0.8666666746139526,0.879444420337677,16,114,14,6,0.8399999737739563,0.9016667008399963,11,117,19,3,0.8533333539962769,0.8669446110725403,10,117,20,3
0.846666693687439,0.8652776479721069,15,114,15,6,0.8399999737739563,0.8791666626930237,16,114,14,6,0.8266666531562805,0.8958331942558289,11,117,19,3,0.846666693687439,0.8645835518836975,10,117,20,3
0.8600000143051147,0.8641664981842041,15,114,15,6,0.8666666746139526,0.8800000548362732,16,114,14,6,0.8533333539962769,0.9019444584846497,11,117,19,3,0.846666693687439,0.8716668486595154,10,117,20,3
