Baseline_acc,Baseline_auroc,ARL_acc,ARL_auroc
0.7666666507720947,0.7286111116409302,0.7866666913032532,0.7405555248260498
0.7933333516120911,0.7161111831665039,0.7933333516120911,0.7066665887832642
0.8399999737739563,0.8011111617088318,0.7866666913032532,0.7925000190734863
0.8266666531562805,0.7813889384269714,0.8133333325386047,0.7736111283302307
0.800000011920929,0.7925000786781311,0.8066666722297668,0.7724999189376831
0.8399999737739563,0.8050001263618469,0.8266666531562805,0.7905555367469788
0.8199999928474426,0.824444591999054,0.8266666531562805,0.808888852596283
0.8533333539962769,0.8288889527320862,0.8399999737739563,0.8305555582046509
0.8333333134651184,0.8422222137451172,0.8733333349227905,0.8655555844306946
0.8266666531562805,0.8438888192176819,0.8399999737739563,0.8661110401153564
0.8199999928474426,0.7988888621330261,0.8333333134651184,0.8475001454353333
0.8399999737739563,0.8208332657814026,0.8133333325386047,0.8147221803665161
0.8399999737739563,0.8691666722297668,0.846666693687439,0.8705556392669678
0.8600000143051147,0.884444534778595,0.8199999928474426,0.8663889765739441
0.8399999737739563,0.8683333992958069,0.8533333539962769,0.8677777051925659
0.8533333539962769,0.8619444966316223,0.8333333134651184,0.8652778267860413
0.8666666746139526,0.8566667437553406,0.846666693687439,0.8255556225776672
0.8600000143051147,0.8511112332344055,0.8533333539962769,0.8486109375953674
0.8399999737739563,0.8591667413711548,0.8666666746139526,0.8616666197776794
0.8666666746139526,0.8666667342185974,0.8666666746139526,0.8577777743339539
0.8600000143051147,0.887222170829773,0.8533333539962769,0.8633332848548889
0.8533333539962769,0.8816666007041931,0.8333333134651184,0.8580554723739624
0.8533333539962769,0.8844443559646606,0.8399999737739563,0.861111044883728
0.846666693687439,0.8844443559646606,0.8533333539962769,0.8630554676055908
