Without Color Correction, Max_RGB
0.3772242069244385,0.3629893362522125
0.5213522911071777,0.5302491188049316
0.5409252643585205,0.5498220920562744
0.5088967680931091,0.517793595790863
0.564056932926178,0.5427046418190002
0.5195729732513428,0.48932385444641113
0.5071174502372742,0.41992881894111633
0.5427046418190002,0.5658363103866577
0.5889679789543152,0.5676156878471375
0.6192170977592468,0.6334519386291504
0.5782918334007263,0.6103202700614929
0.5978647470474243,0.6352313160896301
0.6298932433128357,0.6316726207733154
0.6672598123550415,0.6619216799736023
0.663701057434082,0.6868327260017395
0.6583629846572876,0.6797152757644653
0.6725978851318359,0.6832740306854248
0.6814946532249451,0.6957295536994934
0.6779359579086304,0.690391480922699
0.6743772029876709,0.6939501762390137
