Baseline, With ARL
0.2758007049560547,0.2758007049560547
0.37188613414764404,0.38078293204307556
0.4430604875087738,0.4270462691783905
0.49466192722320557,0.48576512932777405
0.4964412748813629,0.4964412748813629
0.5195729732513428,0.5302491188049316
0.49466192722320557,0.564056932926178
0.4964412748813629,0.4964412748813629
0.5693950057029724,0.564056932926178
0.517793595790863,0.5124555230140686
0.5231316685676575,0.5587188601493835
0.5604982376098633,0.5249110460281372
0.5622775554656982,0.581850528717041
0.5871886014938354,0.5765124559402466
0.5302491188049316,0.5035586953163147
0.5444839596748352,0.5729537606239319
0.5658363103866577,0.5284697413444519
0.5889679789543152,0.5747330784797668
0.628113865852356,0.5907473564147949
0.6120996475219727,0.5747330784797668
0.6245551705360413,0.6067615747451782
0.6405693888664246,0.6049821972846985
0.6316726207733154,0.6192170977592468
0.6441280841827393,0.6032028198242188
0.6423487663269043,0.6138790249824524
0.6690391302108765,0.6423487663269043
0.6690391302108765,0.6530249118804932
0.6850534081459045,0.6565836071968079
0.6708185076713562,0.6725978851318359
0.6814946532249451,0.6654804348945618
0.6672598123550415,0.6921707987785339
0.6761565804481506,0.6672598123550415
0.6743772029876709,0.6939501762390137
0.6814946532249451,0.6868327260017395
0.6761565804481506,0.6921707987785339
0.6921707987785339,0.690391480922699
0.6886121034622192,0.7046263217926025
0.6886121034622192,0.6975088715553284
0.6921707987785339,0.7117437720298767
0.690391480922699,0.6939501762390137
