Baseline,Max RGB,Shades of Gray
0.746666669845581,0.7599999904632568,0.7266666889190674
0.8533333539962769,0.7733333110809326,0.7933333516120911
0.8133333325386047,0.7799999713897705,0.7933333516120911
0.8266666531562805,0.8066666722297668,0.8066666722297668
0.8199999928474426,0.8066666722297668,0.8066666722297668
0.8333333134651184,0.800000011920929,0.800000011920929
0.8133333325386047,0.800000011920929,0.800000011920929
0.8066666722297668,0.8133333325386047,0.8266666531562805
0.8266666531562805,0.8199999928474426,0.8133333325386047
0.800000011920929,0.8066666722297668,0.8133333325386047
0.8133333325386047,0.800000011920929,0.8066666722297668
0.7933333516120911,0.8133333325386047,0.8199999928474426
0.8199999928474426,0.8133333325386047,0.8133333325386047
0.7933333516120911,0.8266666531562805,0.8266666531562805
0.7866666913032532,0.8066666722297668,0.8133333325386047
0.7799999713897705,0.8266666531562805,0.8133333325386047
0.800000011920929,0.8133333325386047,0.800000011920929
0.8266666531562805,0.8266666531562805,0.8199999928474426
0.8333333134651184,0.8133333325386047,0.8133333325386047
0.8333333134651184,0.8199999928474426,0.8133333325386047
0.800000011920929,0.8199999928474426,0.800000011920929
0.8199999928474426,0.8266666531562805,0.8133333325386047
0.8266666531562805,0.8333333134651184,0.8199999928474426
0.8266666531562805,0.8333333134651184,0.8133333325386047
