Baseline, EfficientNet With ARL
0.2758007049560547,0.2758007049560547
0.49822065234184265,0.4964412748813629
0.5480427145957947,0.5480427145957947
0.608540952205658,0.608540952205658
0.5960854291915894,0.5960854291915894
0.5800711512565613,0.581850528717041
0.5782918334007263,0.5889679789543152
0.5729537606239319,0.5551601648330688
0.5711743831634521,0.5800711512565613
0.5765124559402466,0.5587188601493835
0.5907473564147949,0.5907473564147949
0.6138790249824524,0.6032028198242188
0.6138790249824524,0.5978647470474243
0.6245551705360413,0.5871886014938354
0.6174377202987671,0.628113865852356
0.6156583428382874,0.6227757930755615
0.6370106935501099,0.6334519386291504
0.6049821972846985,0.6209964156150818
0.6316726207733154,0.6565836071968079
0.6192170977592468,0.6156583428382874
0.6779359579086304,0.6512455344200134
0.6672598123550415,0.6832740306854248
0.6227757930755615,0.6334519386291504
0.6779359579086304,0.6548042893409729
0.6370106935501099,0.6512455344200134
0.7028470039367676,0.6886121034622192
0.6957295536994934,0.6814946532249451
0.709964394569397,0.6761565804481506
0.6939501762390137,0.6992882490158081
0.6921707987785339,0.7028470039367676
0.7028470039367676,0.6832740306854248
0.7188612222671509,0.7010676264762878
0.6992882490158081,0.6975088715553284
0.7046263217926025,0.6975088715553284
0.7153024673461914,0.7046263217926025
0.7117437720298767,0.7010676264762878
0.709964394569397,0.6939501762390137
0.708185076713562,0.6939501762390137
0.709964394569397,0.690391480922699
0.708185076713562,0.6939501762390137
