Baseline, With ARL
0.2775800824165344,0.2793594300746918
0.38612100481987,0.38612100481987
0.4341636896133423,0.44128113985061646
0.49466192722320557,0.4964412748813629
0.5284697413444519,0.5355871915817261
0.5320284962654114,0.5338078141212463
0.5071174502372742,0.5409252643585205
0.5302491188049316,0.4911032021045685
0.5693950057029724,0.5373665690422058
0.5498220920562744,0.5516014099121094
0.517793595790863,0.4270462691783905
0.5533807873725891,0.5142349004745483
0.5676156878471375,0.5338078141212463
0.5765124559402466,0.564056932926178
0.6298932433128357,0.5658363103866577
0.6032028198242188,0.5622775554656982
0.5907473564147949,0.5551601648330688
0.581850528717041,0.5551601648330688
0.6067615747451782,0.6032028198242188
0.608540952205658,0.6049821972846985
0.5907473564147949,0.5836299061775208
0.6032028198242188,0.6174377202987671
0.6405693888664246,0.628113865852356
0.6441280841827393,0.6174377202987671
0.6512455344200134,0.6405693888664246
0.6583629846572876,0.6530249118804932
0.6761565804481506,0.6298932433128357
0.663701057434082,0.6690391302108765
0.6850534081459045,0.6708185076713562
0.6743772029876709,0.6921707987785339
0.6992882490158081,0.6654804348945618
0.7010676264762878,0.6868327260017395
0.709964394569397,0.6708185076713562
0.6957295536994934,0.6761565804481506
0.7028470039367676,0.6868327260017395
0.6850534081459045,0.6832740306854248
0.7028470039367676,0.6868327260017395
0.6850534081459045,0.6814946532249451
0.7046263217926025,0.6886121034622192
0.7010676264762878,0.6921707987785339
