Baseline,ARL
0.6866666674613953,0.7200000286102295
0.8133333325386047,0.800000011920929
0.800000011920929,0.8066666722297668
0.8266666531562805,0.8066666722297668
0.8266666531562805,0.8199999928474426
0.7933333516120911,0.8133333325386047
0.8333333134651184,0.8333333134651184
0.8266666531562805,0.8066666722297668
0.8199999928474426,0.8133333325386047
0.8266666531562805,0.8133333325386047
0.8133333325386047,0.8266666531562805
0.8133333325386047,0.8066666722297668
0.8333333134651184,0.8266666531562805
0.8333333134651184,0.8266666531562805
0.8333333134651184,0.846666693687439
0.8333333134651184,0.8399999737739563
0.8266666531562805,0.846666693687439
0.8399999737739563,0.846666693687439
0.8333333134651184,0.8333333134651184
0.8399999737739563,0.8533333539962769
0.846666693687439,0.8600000143051147
0.8266666531562805,0.8533333539962769
0.8533333539962769,0.8666666746139526
0.8266666531562805,0.846666693687439
