Baseline, EfficientNet With ARL
0.27402135729789734,0.27402135729789734
0.47330960631370544,0.47330960631370544
0.5480427145957947,0.5480427145957947
0.5960854291915894,0.5960854291915894
0.5907473564147949,0.5889679789543152
0.6530249118804932,0.6548042893409729
0.6103202700614929,0.6120996475219727
0.5729537606239319,0.5693950057029724
0.6174377202987671,0.6049821972846985
0.6014235019683838,0.5854092240333557
0.599644124507904,0.5925266742706299
0.5960854291915894,0.5800711512565613
0.5836299061775208,0.5480427145957947
0.5960854291915894,0.564056932926178
0.5889679789543152,0.628113865852356
0.5943060517311096,0.5782918334007263
0.6565836071968079,0.6387900114059448
0.564056932926178,0.5587188601493835
0.5854092240333557,0.6067615747451782
0.628113865852356,0.6245551705360413
0.5978647470474243,0.645907461643219
0.645907461643219,0.6494662165641785
0.6352313160896301,0.6530249118804932
0.6601423621177673,0.6530249118804932
0.663701057434082,0.6850534081459045
0.6494662165641785,0.6530249118804932
0.663701057434082,0.6797152757644653
0.6832740306854248,0.6725978851318359
0.6868327260017395,0.6992882490158081
0.690391480922699,0.6921707987785339
0.7064056992530823,0.6832740306854248
0.690391480922699,0.6886121034622192
0.7117437720298767,0.7028470039367676
0.6992882490158081,0.6939501762390137
0.7064056992530823,0.6975088715553284
0.7117437720298767,0.708185076713562
0.7046263217926025,0.708185076713562
0.7117437720298767,0.7028470039367676
0.709964394569397,0.7010676264762878
0.708185076713562,0.7028470039367676
