Without Color Correction, Max_RGB
0.38078293204307556,0.38078293204307556
0.5391458868980408,0.5302491188049316
0.5587188601493835,0.5249110460281372
0.5765124559402466,0.5533807873725891
0.5284697413444519,0.5427046418190002
0.5106761455535889,0.45729538798332214
0.5124555230140686,0.5622775554656982
0.5338078141212463,0.5836299061775208
0.626334547996521,0.5765124559402466
0.6103202700614929,0.5907473564147949
0.6245551705360413,0.6156583428382874
0.6743772029876709,0.628113865852356
0.6743772029876709,0.6387900114059448
0.6814946532249451,0.6476868391036987
0.6797152757644653,0.6797152757644653
0.6725978851318359,0.6992882490158081
0.6850534081459045,0.7028470039367676
0.6921707987785339,0.7135231494903564
0.7046263217926025,0.7224199175834656
0.7046263217926025,0.7224199175834656
