Baseline,Max RGB,Shades of Gray
0.7200000286102295,0.7933333516120911,0.7333333492279053
0.8066666722297668,0.7866666913032532,0.7866666913032532
0.8199999928474426,0.800000011920929,0.8066666722297668
0.8333333134651184,0.8133333325386047,0.8066666722297668
0.8133333325386047,0.8066666722297668,0.800000011920929
0.8333333134651184,0.8066666722297668,0.8066666722297668
0.8199999928474426,0.7933333516120911,0.8133333325386047
0.8066666722297668,0.8133333325386047,0.800000011920929
0.7933333516120911,0.8133333325386047,0.8199999928474426
0.8199999928474426,0.8133333325386047,0.8399999737739563
0.8066666722297668,0.8399999737739563,0.846666693687439
0.8333333134651184,0.8266666531562805,0.8266666531562805
0.8199999928474426,0.8199999928474426,0.8066666722297668
0.8266666531562805,0.8199999928474426,0.7933333516120911
0.846666693687439,0.8199999928474426,0.8199999928474426
0.8333333134651184,0.8066666722297668,0.8266666531562805
0.846666693687439,0.8066666722297668,0.8333333134651184
0.8399999737739563,0.8199999928474426,0.8199999928474426
0.8266666531562805,0.8199999928474426,0.8133333325386047
0.8266666531562805,0.8199999928474426,0.8399999737739563
0.846666693687439,0.8333333134651184,0.8399999737739563
0.8333333134651184,0.8266666531562805,0.8266666531562805
0.846666693687439,0.8199999928474426,0.8399999737739563
0.8533333539962769,0.8199999928474426,0.8399999737739563
